,OPERADORA,ESTADO,MES,ANO_BASE,AREA_TRABALHO,RESPONSAVEL,IDADE,SEXO,SATISFACAO_GERAL,USOU_SEIS_MESES_ANTES,USOU_ATEND_TELEFONICO,USOU_ATEND_INTERNET,USOU_ATEND_LOJA,USOU_ATEND_CANAIS,PROBLEMAS_CREDITO,PROBLEMAS_LIGACOES,PROBLEMAS_3G4G,OUTRA_OPERADORA,CIDADE_x,COD_IBGE,QTD_RESIDENTES,RENDA_MENSAL,PESO,SATISFACAO,REGIAO,CIDADE_y,POPULACAO,RENDA_PERCAPITA,PER_CLASSE_A,PER_CLASSE_B,PER_CLASSE_C,PER_CLASSE_D,PER_CLASSE_E
11170,VIVO,CE,set,2018,2,1,19,1,0,0,1,1,1,1,0,0,1,1,FORTALEZA,2304400.0,4,670,0.29387398800000003,7,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11171,OI,CE,set,2018,2,1,30,2,0,0,0,0,0,0,0,0,0,0,FORTALEZA,2304400.0,3,2000,1.657327825,6,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11172,OI,CE,set,2018,2,1,26,2,0,1,0,0,0,0,1,0,0,0,FORTALEZA,2304400.0,5,1500,1.657327825,7,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11173,OI,CE,set,2018,2,0,33,1,1,1,1,1,1,1,0,1,1,1,FORTALEZA,2304400.0,5,1500,1.657327825,10,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11174,OI,CE,set,2018,2,1,21,2,0,0,1,1,1,1,0,0,1,1,FORTALEZA,2304400.0,2,980,1.657327825,5,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11175,TIM,CE,set,2018,2,0,18,1,1,1,0,0,0,0,1,0,0,0,FORTALEZA,2304400.0,3,950,2.307515945,10,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11176,CLARO,CE,set,2018,2,1,20,1,0,0,0,0,0,0,0,0,0,0,FORTALEZA,2304400.0,3,800,1.9328453719999998,6,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11177,OI,CE,fev,2018,2,1,27,1,1,1,1,1,1,1,0,0,1,1,FORTALEZA,2304400.0,1,2000,1.657327825,9,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11178,OI,CE,mar,2018,2,1,44,1,0,1,1,1,1,1,1,0,1,1,FORTALEZA,2304400.0,2,2500,1.657327825,4,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11179,OI,CE,abr,2018,2,1,30,1,1,1,1,1,1,1,1,0,1,1,FORTALEZA,2304400.0,2,954,1.657327825,8,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11180,OI,CE,abr,2018,2,1,45,1,0,1,1,1,1,1,1,0,1,1,FORTALEZA,2304400.0,2,1200,1.657327825,7,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
11181,OI,CE,abr,2018,2,1,32,1,1,1,0,0,0,0,0,0,0,0,FORTALEZA,2304400.0,3,1200,1.657327825,10,NORDESTE,FORTALEZA,2664411,1192.0160321512951,4.79,6.98,29.96,40.5,10.99
